rank,a_nm,h_spine,Wt,ht,Wb,hb,delta_s,h_spine_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,ng_median,wl_center_nm,meets_target,params_hash
86,380.0,0.2631578947368421,0.5263157894736842,0.7,0.5263157894736842,0.7,0.0,100.0,200.0,266.0,200.0,266.0,0.0,2,12.856883456479864,5.3570799311247015,5.347566845815428,1656.154086985157,True,617c8670
87,435.0,0.22988505747126436,0.41379310344827586,0.7,0.41379310344827586,0.7,0.0,100.0,180.0,304.5,180.0,304.5,0.0,6,12.84908478005832,5.950614032124875,5.919474412416539,1484.3310057857548,True,c6c21b7b
88,490.0,0.55,0.3673469387755102,0.3673469387755102,0.3673469387755102,0.3673469387755102,0.0,269.5,180.0,180.0,180.0,180.0,0.0,7,12.339724218011952,5.781021321328344,5.740209426687073,1647.9648914084457,True,bcce4b61
89,435.0,0.3365900383141763,0.5862068965517241,0.5091954022988505,0.5862068965517241,0.5091954022988505,0.0,146.41666666666669,254.99999999999997,221.49999999999997,254.99999999999997,221.49999999999997,0.0,6,12.333651178033506,5.7687609352229074,5.734890434809202,1477.1575304485782,True,a9ec62b0
90,380.0,0.2631578947368421,0.5087719298245614,0.7,0.5087719298245614,0.7,0.0,100.0,193.33333333333334,266.0,193.33333333333334,266.0,0.0,2,12.175256663015716,5.582709280094304,5.385839652416997,1640.1404859489057,True,b7f98527
91,490.0,0.20408163265306123,0.3673469387755102,0.3673469387755102,0.3673469387755102,0.3673469387755102,0.0,100.0,180.0,180.0,180.0,180.0,0.0,4,11.531426355652684,5.802933012351829,5.6170254504705435,1656.7963664860401,True,e9e88ef1
92,435.0,0.3365900383141763,0.5287356321839081,0.5091954022988505,0.5287356321839081,0.5091954022988505,0.0,146.41666666666669,230.0,221.49999999999997,230.0,221.49999999999997,0.0,6,11.469951602591891,5.7675771930135795,5.732822919889637,1465.4025368778873,True,c6b04d08
93,435.0,0.22988505747126436,0.5862068965517241,0.6045977011494252,0.5862068965517241,0.6045977011494252,0.0,100.0,254.99999999999997,263.0,254.99999999999997,263.0,0.0,6,10.830962591818889,5.8700362656759175,5.828470850305099,1455.5551868738003,True,43a3e372
94,435.0,0.22988505747126436,0.5287356321839081,0.41379310344827586,0.5287356321839081,0.41379310344827586,0.0,100.0,230.0,180.0,230.0,180.0,0.0,4,10.692615711803228,6.180038434699355,6.148654572386624,1640.514598484021,True,46a865c2
95,490.0,0.3193877551020408,0.3673469387755102,0.5891156462585034,0.3673469387755102,0.5891156462585034,0.0,156.5,180.0,288.6666666666667,180.0,288.6666666666667,0.0,6,10.502106056885395,5.9557928283790735,5.923358717853387,1620.1450982026727,True,aed478be
96,435.0,0.3365900383141763,0.47126436781609193,0.5091954022988505,0.47126436781609193,0.5091954022988505,0.0,146.41666666666669,205.0,221.49999999999997,205.0,221.49999999999997,0.0,6,10.28578449150632,6.054450033318215,6.009819420416883,1447.8868229249429,True,a914c153
97,435.0,0.55,0.41379310344827586,0.7,0.41379310344827586,0.7,0.0,239.25000000000003,180.0,304.5,180.0,304.5,0.0,7,10.103457096493457,5.788077750794583,5.7155786636254,1534.2630718553062,True,4ddcce82
98,490.0,0.20408163265306123,0.3673469387755102,0.7,0.3673469387755102,0.7,0.0,100.0,180.0,343.0,180.0,343.0,0.0,6,10.095651772295469,5.829903562847235,5.798070996379304,1611.2111777119676,True,198cd8c2
99,435.0,0.22988505747126436,0.5287356321839081,0.6045977011494252,0.5287356321839081,0.6045977011494252,0.0,100.0,230.0,263.0,230.0,263.0,0.0,6,9.9988237830471,5.828946707373648,5.78668607611797,1443.9591711157104,True,14b3a471
100,380.0,0.4543859649122807,0.47368421052631576,0.5491228070175438,0.47368421052631576,0.5491228070175438,0.0,172.66666666666669,180.0,208.66666666666663,180.0,208.66666666666663,0.0,3,9.90300698647161,5.535310032985369,5.27558702810156,1668.3340698012835,True,e8489160
101,380.0,0.2631578947368421,0.49122807017543857,0.7,0.49122807017543857,0.7,0.0,100.0,186.66666666666666,266.0,186.66666666666666,266.0,0.0,5,9.874224225387024,5.960080391605437,5.903417336851907,1445.6252164741927,True,45be9e7f
102,380.0,0.2631578947368421,0.47368421052631576,0.7,0.47368421052631576,0.7,0.0,100.0,180.0,266.0,180.0,266.0,0.0,5,9.7887447864548,6.015878621947245,5.958333496813041,1438.6037223691294,True,bee6a7d0
103,490.0,0.20408163265306123,0.6,0.5891156462585034,0.6,0.5891156462585034,0.0,100.0,294.0,288.6666666666667,294.0,288.6666666666667,0.0,6,9.745755044015596,5.811777823965525,5.775066840863829,1601.9400028742152,True,91cd12d5
104,380.0,0.4543859649122807,0.49122807017543857,0.5491228070175438,0.49122807017543857,0.5491228070175438,0.0,172.66666666666669,186.66666666666666,208.66666666666663,186.66666666666666,208.66666666666663,0.0,5,9.527468880936567,5.9236833442477055,5.852034521453433,1484.3450200644927,True,3ad77af0
105,380.0,0.3587719298245614,0.5087719298245614,0.47368421052631576,0.5087719298245614,0.47368421052631576,0.0,136.33333333333334,193.33333333333334,180.0,193.33333333333334,180.0,0.0,4,9.511543482714615,6.272041750283296,6.249958685949324,1566.2368953306773,True,8a30f1c2
106,490.0,0.4346938775510204,0.3673469387755102,0.4782312925170068,0.3673469387755102,0.4782312925170068,0.0,213.0,180.0,234.33333333333334,180.0,234.33333333333334,0.0,6,9.48155090310388,5.7618569728931535,5.719079779096193,1628.5223589833063,True,20ebc033
107,380.0,0.4543859649122807,0.5087719298245614,0.5491228070175438,0.5087719298245614,0.5491228070175438,0.0,172.66666666666669,193.33333333333334,208.66666666666663,193.33333333333334,208.66666666666663,0.0,5,9.387532643332179,5.802509739204769,5.733217532812327,1489.2757447422412,True,615b8c27
108,380.0,0.4543859649122807,0.5263157894736842,0.5491228070175438,0.5263157894736842,0.5491228070175438,0.0,172.66666666666669,200.0,208.66666666666663,200.0,208.66666666666663,0.0,3,9.23874374134175,5.358913863769896,5.358913863769896,1687.6729523666404,True,5d327c2d
109,380.0,0.3587719298245614,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.0,136.33333333333334,200.0,180.0,200.0,180.0,0.0,4,9.035904202925849,6.22966935242687,6.207860367410799,1578.275314195001,True,ac718bd4
110,435.0,0.22988505747126436,0.47126436781609193,0.6045977011494252,0.47126436781609193,0.6045977011494252,0.0,100.0,205.0,263.0,205.0,263.0,0.0,6,8.947611026734876,5.797859469101163,5.766584261205545,1427.9359215015957,True,6ee08d57
111,380.0,0.3587719298245614,0.49122807017543857,0.47368421052631576,0.49122807017543857,0.47368421052631576,0.0,136.33333333333334,186.66666666666666,180.0,186.66666666666666,180.0,0.0,4,8.927373354784095,6.2916611348790985,6.269454131427449,1560.8849858127264,True,0d779097
112,435.0,0.3365900383141763,0.41379310344827586,0.5091954022988505,0.41379310344827586,0.5091954022988505,0.0,146.41666666666669,180.0,221.49999999999997,180.0,221.49999999999997,0.0,6,8.65909015367697,6.008451974749987,5.953714441982164,1424.3397948219022,True,67989092
113,435.0,0.55,0.47126436781609193,0.7,0.47126436781609193,0.7,0.0,239.25000000000003,205.0,304.5,205.0,304.5,0.0,7,8.650821670043115,5.828695540027096,5.775278051545,1547.835596850332,True,19d4f649
114,490.0,0.3193877551020408,0.5224489795918368,0.4782312925170068,0.5224489795918368,0.4782312925170068,0.0,156.5,256.0,234.33333333333334,256.0,234.33333333333334,0.0,6,8.527497528946924,5.602550592662304,5.565616778415335,1585.5017918140381,True,d3b298fd
115,490.0,0.55,0.4448979591836735,0.3673469387755102,0.4448979591836735,0.3673469387755102,0.0,269.5,218.0,180.0,218.0,180.0,0.0,7,8.215633790849324,5.776808117958131,5.714756637857677,1686.5854146466959,True,1ffc915f
116,490.0,0.20408163265306123,0.5224489795918368,0.5891156462585034,0.5224489795918368,0.5891156462585034,0.0,100.0,256.0,288.6666666666667,256.0,288.6666666666667,0.0,6,8.194172453118199,6.14784061335368,6.097235834126802,1576.8048500803393,True,2787cde1
117,380.0,0.3587719298245614,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.0,136.33333333333334,180.0,180.0,180.0,180.0,0.0,4,8.165334431441352,6.303070797656136,6.28079084054862,1557.7483925800127,True,a64c5169
118,435.0,0.55,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.0,239.25000000000003,180.0,180.0,180.0,180.0,0.0,5,8.095135400958952,5.655160271523385,5.655160271523385,1658.5742992990895,True,f8e93b7e
119,380.0,0.55,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.0,209.00000000000003,200.0,180.0,200.0,180.0,0.0,5,7.780739310064973,5.600377845725188,5.600377845725188,1503.9140855803853,True,253cdb52
