rank,a_nm,h_spine,Wt,ht,Wb,hb,delta_s,h_spine_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,ng_median,wl_center_nm,meets_target,params_hash
259,380.0,0.55,0.5751334858886348,0.6245614035087719,0.44241037376048825,0.6245614035087719,0.15,209.00000000000003,218.5507246376812,237.33333333333331,168.11594202898553,237.33333333333331,57.0,6,24.809895601881635,6.160114661769445,6.047139467687691,1529.425757293014,True,16eddc8c
260,380.0,0.55,0.525499796001632,0.6245614035087719,0.4569563443492452,0.6245614035087719,0.15,209.00000000000003,199.68992248062017,237.33333333333331,173.64341085271317,237.33333333333331,57.0,6,24.678909328702503,6.112646790770836,5.969979274362936,1522.1688008912352,True,6c1ed55c
261,380.0,0.55,0.5263157894736842,0.5739212897107633,0.5263157894736842,0.6752015173067804,0.15,209.00000000000003,200.0,218.09009009009006,200.0,256.57657657657654,57.0,6,24.49974621824913,6.419694264053219,6.3990213360269,1536.6242427299294,True,1ed5bfe4
262,380.0,0.55,0.5087719298245614,0.5739212897107633,0.5087719298245614,0.6752015173067804,0.15,209.00000000000003,193.33333333333334,218.09009009009006,193.33333333333334,256.57657657657654,57.0,6,24.347291693981788,6.388769213574157,6.359710614636537,1534.2988390920655,True,53b4c347
263,380.0,0.55,0.4836415362731151,0.6681354549163606,0.5689900426742531,0.5809873521011831,0.15,209.00000000000003,183.78378378378375,253.89147286821702,216.2162162162162,220.77519379844958,57.0,6,24.149964233844685,6.2958995498273,6.245534114345714,1534.4787050772966,True,48f08b67
264,380.0,0.55,0.4836415362731151,0.6245614035087719,0.5689900426742531,0.6245614035087719,0.15,209.00000000000003,183.78378378378375,237.33333333333331,216.2162162162162,237.33333333333331,57.0,6,24.091598484814995,6.323288200436611,6.2780567822385445,1534.784712707993,True,411ca515
265,380.0,0.55,0.5263157894736842,0.6681354549163606,0.5263157894736842,0.5809873521011831,0.15,209.00000000000003,200.0,253.89147286821702,200.0,220.77519379844958,57.0,6,23.557387354251432,6.383328064917714,6.340781109912323,1535.1960015598759,True,f9274c4b
266,380.0,0.55,0.5087719298245614,0.6681354549163606,0.5087719298245614,0.5809873521011831,0.15,209.00000000000003,193.33333333333334,253.89147286821702,193.33333333333334,220.77519379844958,57.0,6,23.47166949541929,6.355806967615154,6.305986624624742,1532.8023877177852,True,bf7b6365
267,380.0,0.55,0.5263157894736842,0.6245614035087719,0.5263157894736842,0.6245614035087719,0.15,209.00000000000003,200.0,237.33333333333331,200.0,237.33333333333331,57.0,6,22.885996836345385,6.449971022665636,6.410287834975593,1534.7272896300055,True,49dc5597
268,380.0,0.55,0.5087719298245614,0.6245614035087719,0.5087719298245614,0.6245614035087719,0.15,209.00000000000003,193.33333333333334,237.33333333333331,193.33333333333334,237.33333333333331,57.0,6,22.78399215658419,6.422008620373338,6.374389640504926,1532.3697972801706,True,9088ca6e
269,380.0,0.4543859649122807,0.4352773826458036,0.6432432432432432,0.5120910384068278,0.7567567567567567,0.22499999999999998,172.66666666666669,165.4054054054054,244.43243243243242,194.59459459459455,287.56756756756755,85.49999999999999,5,22.292101326411284,5.684131846471547,5.440213981125498,1540.0527297132535,True,a2a4747f
270,380.0,0.4543859649122807,0.5067319461444307,0.7488372093023256,0.44063647490820074,0.6511627906976744,0.22499999999999998,172.66666666666669,192.55813953488368,284.5581395348837,167.4418604651163,247.44186046511626,85.49999999999999,6,21.95143317787074,6.622405890656866,6.582763240827203,1513.3712985234056,True,7fe3bfa0
271,380.0,0.4543859649122807,0.5067319461444307,0.6432432432432432,0.44063647490820074,0.7567567567567567,0.22499999999999998,172.66666666666669,192.55813953488368,244.43243243243242,167.4418604651163,287.56756756756755,85.49999999999999,5,21.683451439814917,5.674547450942828,5.42095273284585,1538.8514976215538,True,1fde90a1
272,380.0,0.4543859649122807,0.47368421052631576,0.7,0.47368421052631576,0.7,0.22499999999999998,172.66666666666669,180.0,266.0,180.0,266.0,85.49999999999999,6,20.947948184161305,6.669507697505196,6.646106194079389,1509.3416764635595,True,683cda88
273,380.0,0.4543859649122807,0.47368421052631576,0.7488372093023256,0.47368421052631576,0.6511627906976744,0.22499999999999998,172.66666666666669,180.0,284.5581395348837,180.0,247.44186046511626,85.49999999999999,5,20.82644316824735,5.716934687744046,5.543204603395281,1539.0062831476816,True,681e0194
274,380.0,0.4543859649122807,0.47368421052631576,0.6432432432432432,0.47368421052631576,0.7567567567567567,0.3,172.66666666666669,180.0,244.43243243243242,180.0,287.56756756756755,114.0,5,20.62754280694594,5.634427136135293,5.426161023741949,1522.1585301272066,True,1f2b6f7b
275,380.0,0.4543859649122807,0.4352773826458036,0.7,0.5120910384068278,0.7,0.22499999999999998,172.66666666666669,165.4054054054054,266.0,194.59459459459455,266.0,85.49999999999999,6,20.04947234828842,6.656738186019424,6.6223364535779625,1512.7501303258732,True,47e89363
276,380.0,0.55,0.4352773826458036,0.514344685242518,0.5120910384068278,0.7347781217750258,0.22499999999999998,209.00000000000003,165.4054054054054,195.45098039215682,194.59459459459455,279.2156862745098,85.49999999999999,6,19.759643273089296,6.295404574803768,6.142861754586395,1533.7868618223984,True,671e83cb
277,380.0,0.4543859649122807,0.5067319461444307,0.6432432432432432,0.44063647490820074,0.7567567567567567,0.3,172.66666666666669,192.55813953488368,244.43243243243242,167.4418604651163,287.56756756756755,114.0,5,19.351826255524657,5.670654351369188,5.506309740984296,1521.6365631771282,True,054bd2d8
278,380.0,0.55,0.4513987671882408,0.514344685242518,0.5310573731626362,0.7347781217750258,0.22499999999999998,209.00000000000003,171.5315315315315,195.45098039215682,201.80180180180176,279.2156862745098,85.49999999999999,6,19.3075759847502,6.40197053182576,6.240941575693437,1537.877168578404,True,50b8c92f
279,380.0,0.55,0.47368421052631576,0.514344685242518,0.47368421052631576,0.7347781217750258,0.22499999999999998,209.00000000000003,180.0,195.45098039215682,180.0,279.2156862745098,85.49999999999999,6,18.923308445506336,6.205732554493573,6.106869544215438,1529.968157578979,True,f4b60792
280,380.0,0.55,0.467520151730678,0.514344685242518,0.5500237079184448,0.7347781217750258,0.22499999999999998,209.00000000000003,177.65765765765764,195.45098039215682,209.00900900900902,279.2156862745098,85.49999999999999,6,18.376739149416153,6.4395753162526,6.387342104253664,1544.7860400706772,True,6cb53b0c
281,380.0,0.4543859649122807,0.4352773826458036,0.7488372093023256,0.5120910384068278,0.6511627906976744,0.22499999999999998,172.66666666666669,165.4054054054054,284.5581395348837,194.59459459459455,247.44186046511626,85.49999999999999,5,18.269271708595625,5.707959309650112,5.667608435983026,1538.137014448228,True,7b9795db
